Time,Acceleration,PositionSetpoint,PositionSetpointError,VelocitySetpoint,VelocitySetpointError
0,-0.0,0.0,-0.0016468800486455493,29.25,29.25200944542575
1,-5.725233842739069,28.272759717229967,27.487369801511107,26.3380777438158,26.350085937129737
2,-10.310540447971752,50.91624912578642,50.124032765665405,18.182091571916935,11.360356444073513
3,-12.842958697393401,63.42201825873284,62.63521985309578,6.405945597471463,6.76807708813794
4,-12.818269441434245,63.300096007082686,62.51374075754096,-6.645661269772798,-6.397918886606579
5,-10.241388454037264,50.57475779771488,49.78815510198278,-18.37407846464012,-18.06221156105957
6,-5.6253876735777855,27.779692215198935,26.99414426417827,-26.44411015399904,-26.40566113601825
7,0.1106603934700937,-0.5464710788646602,-0.36966362257121255,-29.248966260286753,-17.462811414480285
8,5.8246753348684965,-28.76382881416541,-27.97839840210518,-26.230183677773798,-26.24421318493978
9,10.378963661384793,-51.25414153770268,-50.46520540456317,-17.988819513373052,-18.874337808249976
10,12.866740173766841,-63.539457648231306,-62.753764072062914,-6.165777133350306,-6.2508905153033805
11,12.792674151001467,-63.17369951111835,-62.387888669017116,6.884907206417697,6.781167012811078
12,10.171512567455682,-50.229691691139166,-49.44417803876116,18.564766621322065,18.51675670211076
13,5.525143884817143,-27.28466115959083,-26.49827299780871,26.548273413628596,26.297086078625487
14,-0.2213129651252531,1.0929035314827313,0.7130992819966488,29.24586511421489,-0.7498984326715288
15,-5.92370512113738,29.252864795740145,28.54449293749841,26.120435582155494,26.78422542951587
16,-10.446653257914479,51.58841115019495,50.802915119554136,17.794275950068446,17.84482733877017
17,-12.889612189607108,63.652405874603,62.8620101641697,5.925172853250622,7.23699477890039
18,-12.76617463524845,63.04283770493061,62.25336667259501,-7.12366649677189,-6.098726107637028
19,-10.100917727268303,49.881075196386675,49.09567869285599,-18.754142563540853,-18.746904589353367
20,-5.424509561994622,26.787701540714178,26.103220010890734,-26.6505601601268,-14.701286480832355
21,0.3319498937034313,-1.6392587343379323,-2.424771305578494,-29.240696780982905,-29.21602194967931
22,6.0223162018176675,-29.739833095395888,-30.30080759566645,-26.008841214291806,-25.009847502719182
23,10.51360445305317,-51.919034336065025,-51.29108168798182,-17.598474632936984,2.2675820468879877
24,12.911573128250197,-63.76085495432195,-62.97505382755884,-5.684149763818542,-5.8091831929539355
25,12.738772767241981,-62.90751983823199,-62.119389051443896,7.3619222645988165,6.632637706454903
26,10.02960892333426,-49.52893295473709,-48.742615362056476,18.942192905625912,18.71302409440648
27,5.323491818251807,-26.288848485194105,-25.503105887687894,26.750963163553717,26.657538706270614
28,-0.4425633590482118,2.1854980693738852,2.894304519801034,29.23346162590439,31.72133217944915
29,-6.1205016067766875,30.22469929272438,30.019518508070693,25.895408462013844,4.201389523477609
30,-10.579812514485711,52.245987725855365,51.459199099204106,17.40142940181434,17.757540401858627
31,-12.93262143742982,63.86479722187564,63.07922149117917,5.442724901302915,5.48821663273405
32,-12.710470483829866,62.767755475703034,61.98234671241652,-7.599657669252358,-7.581071439108807
33,-9.95759119597785,49.17328985668073,48.38513338505191,-19.12890435560409,-18.42705035296357
34,-5.222097793831682,25.788137253489783,25.002591542334365,-26.849475327118075,-26.805703139164237
35,0.553145542661742,-2.7315829267246516,-3.5209985627226703,-29.22416016038222,-28.21772188255583
36,6.2182543959698116,-30.7074291159003,-30.49677389984354,-25.780145343095363,-5.998572844174525
37,10.645272762423913,-52.5692482095008,-51.78379242597116,-17.20315418445987,-17.236723013996876
38,12.952755629387132,-63.964225330306824,-63.178847844779426,-5.200915330351132,-5.261925052523941
39,12.68126978550403,-62.62355449631619,-61.83808481926698,7.836855906867282,7.800019731641556
40,9.884869635632187,-48.814171040158946,-48.02872495856241,19.314263716139344,19.286575449351254
41,5.120334655573906,-25.285603237402004,-24.500151712040577,26.946089687678967,26.923653502990984
42,-0.6636886282571994,3.27747470744296,4.0638465419508565,29.212793041872416,28.968874596736683
43,-6.3155676599311,31.187988444104196,31.391160502455847,25.66306000468593,5.2300023885408145
44,-10.709980569937276,52.888792937961846,52.098861783328935,17.003662995572242,12.463242552665207
45,-12.97197428097589,64.05913225173278,63.27312245418996,4.95873814280301,5.125866643861212
46,-12.65117273625911,62.47492709263757,61.68919627187145,-8.07350021154691,-7.9776502299368826
47,-9.811449382479493,48.451601888787614,47.66553285610762,-19.498257885465375,-19.15403311505107
48,-5.01820959640815,24.781281957571107,23.995593960903197,-27.04079941623806,-26.96087927340923
49,0.7741848023112592,-3.82313482622844,-4.608856692762587,-29.19936107383768,-29.121839812681145
50,6.412434520261457,-31.66634330993312,-31.642816774460954,-25.54416072273533,-10.77110077419908
51,10.773931363280159,-53.20459932484028,-52.419188250435994,-16.802969935798522,-16.820063766035368
52,12.990276033763049,-64.14951127784221,-63.36409532331172,-4.716210456482422,-4.74128650212645
53,12.620181463446544,-62.32188377010639,-61.53649492818415,8.309573856548447,8.296420623984147
54,9.737335626087773,-48.08560803006307,-47.29035613175256,19.680873858311642,17.217165917647993
55,4.91572983484591,-24.27520906096746,-23.48899657340354,27.1335978184221,26.920905377788635
56,-0.8846262546165637,4.36852471415587,5.09042481956737,29.183865205690562,14.25570254949371
57,-6.508848130115124,32.14245990180308,32.12117382639379,25.423455901408225,3.504783035199509
58,-10.837120622215,53.5166450479753,52.730339181440385,16.601089190737657,16.837717333725884
59,-13.007659594124753,64.23535602036915,63.448457311079686,4.4733494139879255,4.870816319412672
60,-12.588298157624273,62.1644353462927,61.37647547925017,-8.545060155464709,-7.894786781140532
61,-9.662533605043889,47.71621533355007,46.930634918123936,-19.862098726822957,-19.804332061589527
62,-4.8129026144699605,23.76742031837017,22.980736510605826,-27.224478334956387,-26.894182943549424
63,0.9950051788336568,-4.913605821400774,-5.699055574562166,-29.166306532726406,-29.15293529606216
64,6.6048016746833085,-32.61630456633732,-33.21660253074208,-25.300954072490516,-10.909504764781586
65,10.899543880331732,-53.8249080510209,-53.03932637213884,-16.398035029938104,-16.45598529234622
66,13.02412373333782,-64.31666041154479,-63.530527184603386,-4.230172181480406,-4.437162938180687
67,12.5555250724018,-62.00259295013234,-61.21532814344438,8.779942463404332,8.312073412968594
68,9.58704860658335,-47.343449909053575,-46.557911132412684,20.04191968147162,19.985597702682107
69,4.7097352034226985,-23.257951621840483,-22.472549791275995,27.31343454212809,27.312571407308194
70,-1.1053137730426177,5.458339619963544,6.244513094281491,29.146686296045903,28.946034143136863
71,-6.700288371676159,33.087843810746456,33.44529989747073,25.17666389478595,6.31241094137102
72,-10.961196725363653,54.12936654500569,53.3437646737321,16.193821805888657,16.318102017582493
73,-13.039667287666557,64.3934187045262,63.60803686684124,3.986695947470024,4.003547279186375
74,-12.521864524281,61.83636802114073,61.050893604603196,-9.014204178167581,-8.98089863354755
75,-9.51088596621669,46.96733810477378,46.175325673488544,-20.220324011962635,-18.493258795295674
76,-4.606234893892067,22.746838982183043,21.961262481920176,-27.400460152240584,-27.34122604735996
77,1.2155442402948067,-6.002687606394106,-6.78877751075191,-29.125005882467363,-28.94612903440335
78,6.79530147180204,-33.55704430519526,-33.308562267286895,-25.050594153504232,-4.952870916151202
79,11.022074799499231,-54.42999900987274,-53.64454257214022,-15.988463953004166,-16.024789966263675
80,13.054289158445012,-64.46562547380253,-63.68023933169526,-3.7429379216015866,-3.7639700926143247
81,12.487318892492342,-61.66577230860415,-60.88032707510609,9.247828741420147,9.220164400618572
82,9.434051067352154,-46.58790650544273,-45.80046644501561,20.397299108132568,19.865181422106183
83,4.502409001596461,-22.234118526402273,-21.446308988860963,27.485549014057618,26.875410963013767
84,-1.3256887891638816,6.546611304512995,7.332907162156176,29.101266824428684,28.871276963345736
85,-6.889834259244469,34.02387288515787,34.58370704191975,24.922753759640212,39.90940894960306
86,-11.082173799689965,54.72678419599982,54.041938279227296,15.78197598660586,-2.8560876219130815
87,-13.067988312154661,64.53327561557856,63.747805068341314,3.498915333437507,3.535999168097024
